japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
のやら / ものやら / ことやら(no yara / mono yara / koto yara),I wonder...; unsure; I don’t know ~,"Meaning 意味 I wonder...; unsure; I don’t know ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: こと expressions
How to use 使い方 Verb (casual form) のやら ものやら ことやら Noun + な な-adjective + な い-adjective",jlpt_n1,,"今の不景気はいつまで続くのやら？
ima no fukeiki wa itsumade tudzuku no yara?
I wonder how long this current economic slump will continue.","息子は大学を卒業したのに、仕事もせずに何をやっているのやら。
musuko wa daigaku o sotsugyou shita no ni, shigoto mo sezu ni nani o yatteiru no yara.
Even though my son has graduated from university, he isn't working. I wonder what he is doing.","言葉も話せないのに、来年半年間ベトナムに行くことにした。どうなることやら。
kotoba mo hanasenai no ni, rainen hantoshi kan betonamu ni iku koto ni shita. dou naru koto yara.
Even though I don't speak the language, I decided to go to Vietnam for half a year next year. I wonder what will happen...","もうすぐ大学入試なのに、田中さんは勉強せずにゲームばかりして、何を考えているのやら。
mou sugu daigaku nyuushi nano ni, tanaka san wa benkyou sezu ni geemu bakari shite, nani o kangaeteiru no yara.
Even though university entrance exams are right around the corner, Tanaka doesn't study and spends all his time playing games. Really, what is he thinking?","奥さんをガンで亡くした彼に、どう声をかけたらいいものやら。
okusan o gan de nakushita kare ni dou koe o kaketara ii mono yara.
He recently lost his wife to cancer and so I'm not sure how I should approach him."
を踏まえて(o fumaete),to be based on; to take into account ~,"Meaning 意味 to be based on; to take into account ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun を踏まえて",jlpt_n1,,"集めたデータを踏まえてレポートを作成します。
atsumeta deeta o fumaete repooto o sakusei shimasu.
I will create a report based on the collected data.","あなたはそれを踏まえて何か良い提案がありますか。
anata wa sore o fumaete nani ka yoi teian ga arimasu ka.
Do you have any good suggestions based on that?","アンケート結果を踏まえて業務を改善したいと思います。
ankeeto kekka o fumaete gyoumu o kaizen shitai to omoimasu.
I would like to improve our business performance based on the results of the survey.","消費者の意見を踏まえて商品開発をしましょう。
shouhisha no iken o fumaete shouhin kaihatsu o shimashou.
Let's develop products based on the opinions of consumers.","あなたはこの状況を踏まえて再度ご検討ください。
anata wa kono joukyou o fumaete saido go kentou kudasai.
Please re-examine this based on this situation."
をいいことに(o ii koto ni),to take advantage of ~,"Meaning 意味 to take advantage of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual, non-past) + の をいいことに Noun + (であるの) な-adjective + なの い-adjective + の",jlpt_n1,,"私は夏休みであるのをいいことに外国を旅行する。
watashi wa natsuyasumi dearu no o ii koto ni gaikoku o ryokou suru.
I took advantage of summer vacation to travel abroad.","先生がいないのをいいことに朝の授業をサボった。
sensei ga inai no o ii koto ni asa no jugyou o sabotta.
Taking advantage of the teacher's absence, I skipped morning class.","私が知らないのをいいことに彼は私をだました。
watashi ga shiranai no o ii koto ni kare wa watashi o damashita.
He took advantage of my ignorance and deceived me.","彼はお金持ちであるのをいいことに、毎日違う女の人とデートする。
kare wa o kanemochi dearu no o ii koto ni, mainichi chigau onna no hito to deeto suru.
He takes advantage of his wealth and dates different women every day.","先生が優しいのをいいことに、学生たちは授業中にふざけた。
sensei ga yasashii no o ii koto ni, gakusei tachi wa jugyouchuu ni fuzaketa.
Taking advantage of the teacher's gentleness, the students played during class."
を限りに(o kagiri ni),starting from; the last time (ending a continued action),"Meaning 意味 starting from; the last time (ending a continued action)
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun を限りに 限りで Related Kanji 漢字 N3 Kanji: 限 (gen, kagiru) Meaning: limit, restrict",jlpt_n1,,"今日を限りに酒をやめることにした。
kyou o kagiri ni sake o yameru koto ni shita.
From today, I've decided to quit alcohol.","今学期を限りに、私はこの学校を辞めます。
kongakki o kagiri ni, watashi wa kono gakkou o yamemasu.
Starting from this semester, I will be quitting this school.","次の試合を限りに、彼は引退を決意しました。
tsugi no shiai o kagiri ni, kare wa intai o ketsui shimashita.
He decided to retire after the next match.","来週を限りに、この店は閉店するそうだ。
raishuu o kagiri ni, kono mise wa heiten suru sou da.
I heard that this shop is closing from next week.","今日を限りにこの会社ともお別れか。
kyou o kagiri ni kono kaisha to mo o wakare ka.
I guess it's goodbye to this company as of today."
を禁じ得ない(o kinji enai),can’t help but; can’t refrain from ~,"Meaning 意味 can’t help but; can’t refrain from ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun を禁じ得ない Related Kanji 漢字 N2 Kanji: 禁 (kin) Meaning: prohibition; ban; forbid N3 Kanji: 得 (toku, eru) gain",jlpt_n1,,"彼の不幸な人生には、同情を禁じえない。
kare no fukou na jinsei ni wa, doujou o kinji enai.
I can't help but feel sympathy for his unfortunate circumstances.","彼女の身の上話を聞いて、涙を禁じえない。
kanojo no mi no uebanashi o kiite, namida o kinji enai.
I can't help crying when hearing her story.","先生の変顔に笑いを禁じえなかった。
sensei no hengao ni warai o kinji enakatta.
I couldn't help but laugh at the teacher's funny face.","大手企業が相次いで倒産すると聞いて、驚きを禁じえない。
oote kigyou ga aitsuide tousan suru to kiite, odoroki o kinji enai.
I can't help but be surprised to hear that major companies are going bankrupt one after another.","この映画のラストシーンでは、誰も涙を禁じえないでしょう。
kono eiga no rasuto shiin de wa, dare mo namida o kinji enai deshou.
In the last scene of this movie, no one will be able to stop themselves from crying."
をもって / をもちまして(o motte / o mochimashite),by means of; with; on / at / as of (time)​,"Meaning 意味 by means of; with; on / at / as of (time)​
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun をもって をもちまして",jlpt_n1,,"彼女の実力をもってすれば、成功するだろう。
kanojo no jitsuryoku o motte sureba, seikou suru darou.
With her abilities, she will likely succeed.","最新技術をもってすればその開発も難しくないだろう。
saishin gijutsu o motte sureba sono kaihatsu mo muzukashikunai darou.
With the latest technology, its development will not be difficult.","あの先生は私が何を尋ねても、いつも誠意をもって答えてくれる。
ano sensei wa watashi ga nani o tazunetemo, itsumo seii o motte kotaete kureru.
That teacher always answers in good faith no matter what I ask.","今の医療技術をもってしても治せない病も多い。
ima no iryou gijutsu o motte shite mo naosenai byouki mo ooi.
There are many diseases that cannot be cured even with the current medical technology.","本日をもって、セールは終了となります。
honjitsu o motte, seeru wa shuuryou to narimasu.
The sale ends today."
を余儀なくされる(o yogi naku sareru),to be forced to do something because one has no other choice,"Meaning 意味 to be forced to do something because one has no other choice
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun を余儀なくされる を余儀なくされた を余儀なくされている Related Kanji 漢字 N3 Kanji: 余 (yo, amaru) Meaning: too much, surplus N1 Kanji: 儀 (gi, ) Meaning: ceremony, rule, affair, case, a matter",jlpt_n1,,"その試合は雨のため、延期を余儀なくされた。
sono shiai wa ame no tame, enki o yoginaku sareta.
Due to the rain, the game had to be postponed.","大きなミスをしたため、彼は辞職を余儀なくされた。
ookina misu o shita tame, kare wa jishoku o yoginaku sareta.
He was forced to resign because he made a big mistake.","火事で住まいが焼けたため、家探しを余儀なくされた。
kaji de sumai ga yaketa tame, yasagashi o yoginaku sareta.
The fire burned my house, forcing me to find a new home.","試合中の怪我は彼に26歳で引退を余儀なくされた。
shiaichuu no kega wa kare ni 26 sai de intai o yoginaku saseta.
Injuries during the match forced him to retire at the age of 26.","災害のため、多くの住民が避難所での生活を余儀なくされている。
saigai no tame, ooku no juumin ga hinanjo de no seikatsu o yoginaku sarete iru.
Many people have been forced to live in shelters because of the disaster."
を前提として(o zentei toshite),with the intention to; on the condition / assumption ~,"Meaning 意味 with the intention to; on the condition / assumption ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun を前提として を前提に（して） 前提で Related Kanji 漢字 N5 Kanji: 前 (zen, mae) in front, before N1 Kanji: 提 (tei, sageru) Meaning: propose, take along, carry in hand",jlpt_n1,,"私たちは結婚を前提として交際しています。
watashi tachi wa kekkon o zentei toshite kousai shite imasu.
We are dating with intent of marriage.","私の企画は君の協力を前提としている。
watashi no kikaku wa kimi no kyouryoku o zentei to shiteiru.
My plan depends on the condition of your cooperation.","彼は氏名を明かさないことを前提に記者にその話を言った。
kare wa shimei o akasanai koto o zentei ni kisha ni sono hanashi o itta.
He spoke to the journalist on the condition that his name is not disclosed.","あなたの提案は我々のあり金以上の金を前提にしている。
anata no teian wa wareware no arikin ijou no kin o zentei ni shite iru.
Your proposal supposes more money than we actually have.","いつでも事故を起こることを前提として、慎重に運転する。
itsu demo jiko o okoru koto o zentei toshite, shinchou ni unten suru.
Drive carefully with the assumption that an accident can occur at any time."
さ(sa),ending particle; indicates assertion,"Meaning 意味 ending particle; indicates assertion
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 phrase + さ",jlpt_n1,,"やってみるさ！
yatte miru sa!
Give it a try!","よくあることさ。
yoku aru koto sa.
It happens.","そういうものさ。
souiu mono sa.
That's the way it is.","そういうことさ。
sou iu koto sa.
That's that.","世間とはこうしたものさ。
seken to wa kou shita mono sa.
That's the way things are."
さも(samo),"really (seem, appear, etc.); truly; as if ~","Meaning 意味 really (seem, appear, etc.); truly; as if ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 さも sentence + (そうに/そうな) sentence + (ように/ような)",jlpt_n1,,"彼はさもおいしそうにビールを飲みほした。
kare wa samo oishisou ni biiru o nomihoshita.
He drank up beer deliciously.","子供はさも眠そうな様子で、大きなあくびをした。
kodomo wa samo nemu souna yousu de, ookina akubi o shita.
With a seemingly sleepy appearance, the baby let out a big yawn","彼はさも満足そうに微笑した。
kare wa samo manzoku sou ni bishou shita.
He smiled, appearing to be satisfied.","その少年はさもおいしそうに食べ始めた。
sono shounen wa samo oishi sou ni tabe hajimeta.
The boy started eating as if the food was truly delicious.","彼はさも満足そうにでき上がった作を眺めいた。
kare wa samo manzoku sou ni dekiagatta saku o nagame ita.
He looked at the finished work with apparent satisfaction."
そばから(soba kara),as soon as; right after​ ~,"Meaning 意味 as soon as; right after​ ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) Verb (た form) そばから",jlpt_n1,,"名前を聞いたそばから忘れてしまう。
namae o kiita sobakara wasurete shimau.
I forget names almost instantly after I hear them.","田中さん、注意したそばから間違えてるよ。
tanaka san, chuui shita soba kara machigaeteru yo.
Tanaka makes the mistakes right after I warn him.","お給料はもらったそばから、なくなっていく。どこに消えるんだろう．．．
okyuuryou wa moratta soba kara, naku natte iku. doko ni kieru n darou...
As soon as I receive my salary, it all disappears. I wonder where it all goes...?","彼女は「今日からダイエットする」と言ったそばから、カフェでアイスを食べていた。
kanojo wa 'kyou kara daietto suru' to itta soba kara, aisu o tabeteita.
Right after she said ""I'm going on a diet from today"", she was eating ice cream at a cafe.","うちの子は、片付けているそばから部屋を散らかしてしまう。
uchi no ko wa, katazdzuketeiru soba kara heya o chirakashite shimau.
Our child messes up the room as soon as we finish cleaning it."
そびれる(sobireru),to miss a chance; to fail to do ~,"Meaning 意味 to miss a chance; to fail to do ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (stem form) ます そびれる",jlpt_n1,,"遅刻して飛行機に乗りそびれた。
chikoku shite hikouki ni nori sobireta.
I was late and missed the plane.","今朝は忙しくて、朝食を食べそびれてしまった。
kesa wa isogashikute, choushoku o tabe sobirete shimatta.
I was so busy this morning that I missed breakfast.","質問しようと思ったけど、緊張で言いそびれてしまった。
shitsumon shiyou to omotta kedo, kinchou de ii sobirete shimatta.
I was going to ask a question, but I was so nervous that I missed the opportunity to say it.","バスが混んでて降りそびれてしまった。
basu ga kondete ori sobirete shimatta.
The bus was so crowded that I missed the opportunity to get off the bus.","ラジオで彼らの音楽がかかってたんだけど、バンド名を聞きそびれてしまった。
rajio de karera no ongaku ga kakattetan dakedo, bandomei o kiki sobirete shimatta.
Their music is playing on the radio, but I missed the chance to hear the band's name."
すら / ですら(sura / de sura),even ~ (with emphasis),"Meaning 意味 even ~ (with emphasis)
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 Noun （で）すら （に）すら",jlpt_n1,,"こんな問題、小学生すらわかるよ。
konna mondai, shougakusei sura wakaru yo.
Even an elementary school kid would know this kind of problem.","喉が痛くて、水すら飲めない。
nodo ga itakute, mizu sura nomenai.
My throat hurts so much I can't even drink water.","この悩みは家族にすら言えない。
kono nayami wa kazoku ni sura ienai.
I can't talk about this problem to anyone, even my family.","盗みが悪いことであるのは、小さい子供ですら知っている。
nusumi ga warui koto de aru no wa, chiisai kodomo de sura shitteiru.
Even small children know that stealing is something bad.","結婚なんてとんでもない。私は男の人と話したことすらないのです。
kekkon nante tondemonai. watashi wa otoko no hito to hanashita koto sura nai no desu.
Getting married is out of the question. I've never even talked to a man before."
たことにする / たことになる(ta koto ni suru / ta koto ni naru),pretend to; see things as untrue; contrary to the truth ~,"Meaning 意味 pretend to; see things as untrue; contrary to the truth ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: こと expressions
How to use 使い方 Verb (た form) （という）ことにする （という）ことになる Noun +（だ） な-adjective +（だ） い-adjective (た form)",jlpt_n1,,"それは無かったことにして下さい。
sore wa nakatta koto ni shite kudasai.
Please just pretend that didn't happen.","この話は聞かなかったことにしてください。
kono hanashi wa kikanakatta koto ni shite kudasai.
Please pretend as if you did not hear anything.","夫の不倫を見なかったことにする。
otto no furin o minakatta koto ni suru.
I decided that I will pretend I did not see my husband's affair.","風邪だということにして学校を休んだ。
kaze da to iu koto ni shite gakkou o yasunda.
I pretended to have a cold and took a break from school.","彼女は、大学を卒業したことになっているけれど、実際は中退したらしい。
kanojo wa, daigaku o sotsugyou shita koto ni natteiru keredo, jissai wa chuutai shita rashii.
She is supposed to have graduated from college, but she seems to have dropped out."
たつもりはない(ta tsumori wa nai),have no intention to / didn't mean to ~,"Meaning 意味 have no intention to / didn't mean to ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (た form) つもりはない つもりではない つもりはなかった",jlpt_n1,,"私はそんなことを言ったつもりはない。
watashi wa sonna koto o itta tsumori wa nai.
I don't mean to say such things.","あなたを許したつもりはありません。
anata o yurushita tsumori wa arimasen.
I don't intend to forgive you.","彼は自分の店を売ったつもりはない。
kare wa jibun no mise o utta tsumori wa nai.
He didn't intend to sell his store.","面白い事を言ったつもりはないんですが、笑ってくれて嬉しいです。
omoshiroi koto o itta tsumori wa nain desu ga, waratte kurete ureshii desu.
I didn't mean to say anything interesting, but I'm glad you laughed.","その問題について議論したつもりはない。
sono mondai ni tsuite giron shita tsumori wa nai.
I have no intention of discussing the issue."
ただ～のみだ(tada~nomi da),all we can do is; can do nothing but; only ~,"Meaning 意味 all we can do is; can do nothing but; only ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs , Japanese particles
How to use 使い方 （ただ） Verb (dictionary) のみだ のみです Noun な-adj + である い-adj + い",jlpt_n1,,"今はただみんなの無事を祈るのみです。
ima wa tada minna no buji o inoru nomi desu.
Now I can only pray for everyone's safety.","うまくなりたいなら、ただ練習あるのみだ。
umaku naritai nara, tada renshuu aru nomi da.
If you want to improve, then all you need to do is practice.","こうなったら、ただ一生懸命やるのみだ。
kou nattara, tada isshoukenmei yaru nomi da.
Now that it's come to this, I must do my best.","やれることはやったので、後はただ結果を待つのみだ。
yareru koto wa yatta node, ato wa tada kekka o matsu nomi da.
You've done everything you could and now all we can do is wait for the results.","引き返すという選択はない。前進あるのみだ。
hikikaesu to iu sentaku wa nai. zenshin aru nomi da.
There is no going back. We can only move forward."
たら～たで(tara~tade),if / in the case... of course / should ~,"Meaning 意味 if / in the case... of course / should ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (た) + ら Verb (た) + で Noun + なら Noun + で な-adj + なら な-adj + で い-adj + い かったら い-adj + い かったで",jlpt_n1,,"失敗したらしたで、もう一度チャレンジすればいい。
shippai shitara shita de, mouichido charenji sureba ii.
If you make a mistake, you can try again.","試験に落ちたら落ちたで、また来年受けるだけだ。
shiken ni ochitara ochita de, mata rainen ukeru dakeda.
If I fail the exam, I fail, and I'll just take it again next year.","大学に入ったら入ったで、お金がかかって大変だ。
daigaku ni haittara haitta de, okane ga kakatte taihen da.
If you get into university, it costs money and is tough.","もちろん、安く買えるほうがいいが、安かったら安かったで少し不安になる。
mochiron, yasuku kaeru hou ga ii ga, yasukattara yasukattade sukoshi fuan ni naru.
Of course, it's better to buy it cheaper but if it's too cheap I'm a little worried.","便箋がなかったらないで、コピー用紙でも構わない。
binsen ga nakattara naide, kopii youshi demo kamawanai.
If there's no writing paper, then copy paper will work."
たるもの / たる(taru mono / taru),(those) who are; (that) which is; in the capacity of ... should ~,"Meaning 意味 (those) who are; (that) which is; in the capacity of ... should ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun たるもの たる",jlpt_n1,,"医者たるもの、患者の命を優先に考えるべきだ。
isha taru mono, kanja no inochi o yuusen ni kangaeru beki da.
As a doctor, you should give priority to the life of the patient.","教師たるもの、学生の見本となるような行動すべきだ。
kyoushi taru mono, gakusei no mihon to naru youna koudou subeki da.
As a teacher, you should act as a model for students.","警察官たるもの、市民の安全を守るべきだ。
keisatsukan taru mono, shimin no anzen o mamoru beki da.
As a police officer, you should protect the safety of the citizens.","親たるもの、子どもが悪いことをしたときに、きちんと叱るべきだ。
oya tomo arou mono, kodomo ga warui koto o shita toki ni, kichinto shikaru beki da.
As a parent, one should properly discipline their children when they misbehave.","大学生たるものが、パソコンを使えないのは恥ずかしい。
daigakusei taru mono ga, pasokon o tsukaenai no wa hazukashii.
It's embarrassing for college students to not be able to use a computer."
て敵わない(te kanawanai),can't bear to; unable to; troublesome to; can’t stand to ~,"Meaning 意味 can't bear to; unable to; troublesome to; can’t stand to ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (て form) （は）かなわない な-adjective + で い-adjective + い + くて Related Kanji 漢字 N1 Kanji: 敵 (teki, kataki, ada, kana(u)) Meaning: enemy, foe, opponent",jlpt_n1,,"隣の工事がうるさくて敵わない。
tonari no kouji ga urusakute kanawanai.
I can't stand the noise of the construction site next door.","N1の問題は難しくて敵わない。でも、勉強するしかない。
N1のもんだいはむずかしくてかなわない。でも、べんきょうするしかない。
N1 no mondai wa muzukashikute kanawanai. demo, benkyou suru shika nai.","私の家は駅から遠くて不便で敵わない。
watashi no ie wa eki kara tookute fuben de kanawanai.
My house is far from the station and unbearably inconvenient.","ダイエットをしているのに、美味しいケーキを見たら我慢されては敵わない。
daietto o shite iru noni, oishii keeki o mitara gaman sarete wa kanawanai.
Even though I'm on a diet, I can't stand it when I see a delicious looking cake.","夏休みは旅行に行きたかったけど、チケットが高くてはかなわない。
natsuyasumi wa ryokou ni ikitakatta kedo, chiketto ga takakute wa kanawanai.
I wanted to go on a trip during the summer vacation, but the tickets are too expensive."
てしかるべきだ(te shikaru beki da),should; appropriate; it is natural to do ~,"Meaning 意味 should; appropriate; it is natural to do ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (て form) しかるべきだ Related Kanji 漢字 N3 Kanji: 然 (zen, nen, shika, sa) Meaning: sort of thing, if so",jlpt_n1,,"後輩なら先輩に敬語を使ってしかるべきだ。
kouhai nara senpai ni keigo o tsukatte shikaru beki da.
If you are a junior, you should use honorifics towards your seniors.","退学する前に、親と相談してしかるべきだ。
taigaku suru mae ni, oya to soudan shite shikaru beki da.
You should consult with your parents before leaving school.","この小説はもっと評価されてしかるべきだ。こんなに面白い本は読んだことがない。
kono shousetsu wa motto hyouka sarete shikaru beki da. konnani omoshiroi hon wa yonda koto ga nai.
This novel should be acknowledged more. I've never read such an interesting book.","この道には車がたくさん通っているのだから、信号があってしかるべきだ。
kono michi ni wa kuruma ga takusan tootte iru no da kara, shingou ga atte shikaru beki da.
There are a lot of cars passing through this road, so it's only natural there should be a traffic light.","優秀な学生には奨学金が与えられてしかるべきだ。
yuushuu na gakusei ni wa shougakukin ga atae rarete shikaru beki da.
Excellent students should be given scholarships."
手前(temae),considering; before; in front of; one’s standpoint,"Meaning 意味 considering; before; in front of; one’s standpoint
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual) 手前 Noun + の Related Kanji 漢字 N4 Kanji: 手 (shu, te) hand N5 Kanji: 前 (zen, mae) in front, before",jlpt_n1,,"自分が一番若い手前、皆のお茶を入れるのは当然だ。
jibun ga ichiban wakai temae, mina no ocha o ireru no wa touzen da.
Since I am the youngest, it is only natural that I am the one who prepare's everyone's tea.","熱があるから学校を休むと言ってしまった手前、外に出て誰かに見られてはまずい。
netsu ga aru kara gakkou o yasumu to itte shimatta temae, soto ni dete dare ka ni mirarete wa mazui.
Considering I said I couldn't go to school because I have a fever, it would be bad if someone spotted me going outside.","お任せしますと言った手前、友達が買ってきた弁当が嫌とは言えなかった。
omakase shimasu to itta temae, tomodachi ga katte kita bentou ga iya to wa ienakatta.
Since I left it up to my friend's judgement, I can't say that I don't like the bento lunch box he bought for me.","この仕事は先生に紹介してもらった手前、すぐにはやめることはできない。
kono shigoto wa sensei ni shoukai shite moratta temae, sugu ni wa yameru koto wa dekinai.
Considering my teacher introduced this job to me, there's now way I can quit right away.","約束した手前、たとえ雪が降っても行かないわけにはいかない。
yakusoku shita temae, tatoe yuki ga futtemo ikanai wake niwa ikanai.
Considering you made a promise, even if it for example it snows, you must still go."
てもどうにもならない(temo dou ni mo naranai),it's no use; can't do anything,"Meaning 意味 it's no use; can't do anything
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (て form) + も どうにもならない どうなるものでもない Noun + でも な-adjective + でも い-adjective + い + くても",jlpt_n1,,"今さら反対してもどうなるものでもない。
imasara hantai shite mo dou naru mono de mo nai.
It's too late to oppose things now.","過ぎたことを後悔してもどうにもならない。
sugita koto o koukai shite mo dou ni mo naranai.
It's no use regretting things that happened in the past.","悩んでもどうにもならない。息子の性格は変えられないよ。
nayan demo dou ni mo naranai. musuko no seikaku wa kaerarenai yo.
It's no use worrying about it. You can't change your son's personality.","１人で考えてもどうにもならない。みんなに聞いてみよう。
hitori de kangaete mo dou ni mo naranai. minna ni kiite miyou.
It's no use thinking about this alone. Let's ask everyone for their ideas.","私はもう一度彼女と話してもどうなるものでもないと思った。
watashi wa mou ichido kanojo to hanashite mo dou naru mono de mo nai to omotta.
I thought that even talking to her one more time wouldn't help with anything."
とあって(to atte),due to the fact that; because of ~,"Meaning 意味 due to the fact that; because of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Verb (casual) とあって Noun +（だ） な-adjective +（だ） い-adjective + い",jlpt_n1,,"夏休みとあって、平日なのに学生がたくさんいる。
natsuyasumi to atte, heijitsu nanoni gakusei ga takusan iru.
Due to it being summer break, even though it's a weekday, there are lots of students here.","ゴールデンウィークとあって、どこに行っても混んでいる。
gooruden wiiku to atte, doko ni itte mo kondeiru.
Since it's Golden Week, no matter where you go it'll be crowded.","このうどん屋は量が多く安いとあって、学生に人気があります。
kono udonya wa ryou ga ooku yasui to atte, gakusei ni ninki ga arimasu.
Because this udon shop is cheap with large portions, it's very popular with students.","今日は休日とあって、交通が渋滞する。
kyou wa kyuujitsu to atte, koutsuu ga jutai suru
Due to the fact that today is a holiday, traffic will be backed up.","久しぶりの再会とあって、彼らは何時間も話していた。
hisashiburi no saikai to atte, karera wa nanjikan mo hanashiteita.
They talked for hours because they had not seen each other in a long time."
といい～といい(to ii~to ii),both ... and; not only ... also; whether it be ... or ~,"Meaning 意味 both ... and; not only ... also; whether it be ... or ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun といい Noun といい",jlpt_n1,,"このレストランは、料理の味といい値段といい、文句のつけようがない。
kono resutoran wa, ryouri no aji to ii nedan to ii, monku no tsuke you ga nai.
This restaurant has good food taste and good price, so I can't complain.","あの映画はストーリーといい、キャラクターといい、素晴らしかった。
ano eiga wa sutoorii to ii, kyarakutaa to ii, subarashikatta.
That movie had a good story and great characters, it was wonderful.","運動といい勉強といい、私は何をやっても駄目だ。
undou to ii benkyou to ii, watashi wa nani o yattemo dame da.
Whether it be exercise or study, I'm no good at anything.","デザインといい性能といい、i-Phoneは最高のスマホだ。
dezain to ii seinou to ii, i-Phone wa saikou no sumaho da.
With good design and good performance, the iPhone is the best smartphone.","彼はまだ若いけれど、経験といい能力といい申し分のない男性だ。
kare wa mada wakai keredo, keiken to ii nouryoku to ii moushibun no nai dansei da.
He is still young, but he is a perfect man with experience as well as good abilities."
という(to iu),all; every single ~ (no exceptions),"Meaning 意味 all; every single ~ (no exceptions)
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun という (same) noun",jlpt_n1,,"津波によって家という家が全て流されてしまった。
tsunami ni yotte ie to iu ie ga subete nagasarete shimatta.
The tsunami washed away all the houses (leaving none behind).","大雪で東京に行くの電車という電車が中止されている。
taisetsu de toukyou ni iku no densha to iu densha ga chuushi sarete iru.
All trains heading towards Tokyo have been canceled due to heavy snow.","家に変な匂いがこもったので、窓という窓を全部開けた。
ie ni hen na nioi ga komotta node, mado to iu mado o zenbu aketa.
I had a strange smell in my house, so I opened every single window.","息子の部屋は壁という壁に車のポスターが貼ってある。
musuko no heya wa kabe to iu kabe ni kuruma no posutaa ga hatte aru.
The walls of my son's room are covered with car posters.","チラシをこの地域の家という家に配って歩いた。
chirashi o kono chiiki no ie to iu ie ni kubatte aruita.
I delivered flyers to every single house in this area."
というか～というか(to iu ka~to iu ka),or rather; or perhaps I should say; I mean ~,"Meaning 意味 or rather; or perhaps I should say; I mean ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Verb (casual) というか Verb (casual) というか Noun Noun な-adj な-adj い-adj い-adj",jlpt_n1,,"気温が低すぎて、寒いというか痛い。
kion ga hiku sugite, samui to iu ka itai.
The temperature is too low. It's more painful than cold.","あんこが好きというか、ないと生きていけない。
anko ga suki to iu ka, nai to ikite ikenai.
I really like ""anko"" (sweet red bean paste), or rather I should say I can't live without it.","それは、面白いというか、珍しいというか、とにかく変わったものだ。
sore wa, omoshiroi to iu ka, mezurashii to iu ka, tonikaku kawatta mono da.
That's interesting, or rather it's rare. In any case, it's strange.","たぶん行かないと思う。というか、お金がないから、行けない。
tabun ikanai to omou. to iu ka, okane ga nai kara, ikenai.
I don't think I will go. Or rather I should say I don't have any money and so I can't go.","私は合格したが、親友は不合格だった。嬉しいというか、残念というか、複雑な気持ちだ。
watashi wa goukaku shita ga, shinyuu wa fugoukaku datta. ureshii to iu ka, zannen to iu ka, fukusatsu na kimochi da.
I passed the exam, but my best friend did not. I'm happy, or perhaps I should say I'm sad. It's a complicated feeling."
